joint,axis,n_eval,positive_rate,auc_tactile,auc_shuffled_tactile,auc_pose_emb,auc_pose_emb_plus_tactile,auc_pose_emb_plus_shuffled,marginal_vs_pose,marginal_vs_pose_ci_low,marginal_vs_pose_ci_high,marginal_vs_shuffled,marginal_vs_shuffled_ci_low,marginal_vs_shuffled_ci_high
ring_mcp,spread,6626,0.5526712948988832,0.5623681151793487,0.5093255420406243,0.5747522057885965,0.587560925904224,0.5681100568924307,0.012808720115627503,-0.004233103752205888,0.028900092037810052,0.01945086901179338,-0.004568366906360408,0.04123667227068068
ring_mcp,curl,6626,0.43102927859945667,0.7575406422515956,0.49271736546077316,0.745635508845448,0.7736193151000452,0.742802532153445,0.027983806254597177,0.012822060314346998,0.04474910991956148,0.030816782946600174,0.014156075939884766,0.04964472938062175
ring_pip,radial,6626,0.4212194385753094,0.7102537164297422,0.4876155756746518,0.7082722122747871,0.7201254544664659,0.7039199849394846,0.011853242191678826,-0.0028739321605229908,0.026874593107207887,0.01620546952698132,0.0004191516679245333,0.032782654967504356
ring_pip,spread,6626,0.556444310292786,0.6872731712435469,0.4947200988400524,0.6746369747841773,0.6914049187285491,0.6676918516664632,0.016767943944371866,0.0021083552231371317,0.03261891364780438,0.02371306706208598,0.005285331145352374,0.043692945843570426
ring_pip,curl,6626,0.490642921823121,0.6766505120931451,0.4850642879114119,0.6616673616095333,0.6867043530765463,0.6547489205600556,0.025036991467012992,0.006320352930670953,0.04391569238792693,0.03195543251649069,0.010965387684850326,0.05222754800349775
ring_dip,radial,6626,0.4470268638696046,0.7271789095648226,0.4863781295241914,0.7081583242173792,0.7308300518356239,0.7074940697156707,0.022671727618244653,0.007094926573876396,0.0386899662207492,0.023335982119953136,0.005892625425797379,0.04142892754325157
ring_dip,spread,6626,0.5556897072140055,0.7206188522896346,0.5029529120810996,0.6967393702914295,0.7192754705618402,0.6935326714273906,0.02253610027041064,0.006789671286727447,0.0379134304256146,0.025742799134449545,0.00711887430874986,0.04497286510608185
ring_dip,curl,6626,0.530938726230003,0.6423677494598472,0.5105015171103858,0.6386958813763817,0.6673125452261325,0.6375033565198432,0.028616663849750812,0.010969216230588297,0.04540314655248135,0.029809188706289236,0.010700792851599084,0.04864977848107027
ring_tip,radial,6626,0.4548747358889224,0.7097424091779888,0.4868759373936763,0.695578257537178,0.7187116270251561,0.6918270294182703,0.023133369487978173,0.008370251296307219,0.03770719015437847,0.026884597606885774,0.010354350905577375,0.044073271774644394
ring_tip,spread,6626,0.5232417748264413,0.6996938438146014,0.4815037600026223,0.6750313383008958,0.6939215155091834,0.6661487823555573,0.018890177208287562,0.0047153200294879245,0.0341794213262235,0.02777273315362605,0.012470021867463963,0.044552896603677956
